,Areaname,Land Area (sq. mi)
18005,"Bartholomew, IN",406.91
18007,"Benton, IN",406.42
18009,"Blackford, IN",165.08
18011,"Boone, IN",422.91
18013,"Brown, IN",311.98
18015,"Carroll, IN",372.22
18017,"Cass, IN",412.16
18019,"Clark, IN",372.86
18021,"Clay, IN",357.54
18023,"Clinton, IN",405.07
18025,"Crawford, IN",305.64
18027,"Daviess, IN",429.49
18029,"Dearborn, IN",305.03
18031,"Decatur, IN",372.57
18033,"DeKalb, IN",362.82
18035,"Delaware, IN",392.12
18037,"Dubois, IN",427.27
18039,"Elkhart, IN",463.17
18041,"Fayette, IN",215.01
18043,"Floyd, IN",147.94
18045,"Fountain, IN",395.66
18047,"Franklin, IN",384.43
18049,"Fulton, IN",368.39
18051,"Gibson, IN",487.49
18053,"Grant, IN",414.07
18055,"Greene, IN",542.5
18057,"Hamilton, IN",394.27
18059,"Hancock, IN",306.02
18061,"Harrison, IN",484.52
18063,"Hendricks, IN",406.91
18065,"Henry, IN",391.88
18067,"Howard, IN",293.06
18069,"Huntington, IN",382.65
18071,"Jackson, IN",509.31
18073,"Jasper, IN",559.63
18075,"Jay, IN",383.91
18077,"Jefferson, IN",360.63
18079,"Jennings, IN",376.58
18081,"Johnson, IN",320.43
18083,"Knox, IN",516.03
18085,"Kosciusko, IN",531.38
18087,"LaGrange, IN",379.62
18089,"Lake, IN",498.96
18091,"LaPorte, IN",598.3
18093,"Lawrence, IN",449.17
18095,"Madison, IN",451.92
18097,"Marion, IN",396.3
18099,"Marshall, IN",443.63
18101,"Martin, IN",335.74
18103,"Miami, IN",373.84
18105,"Monroe, IN",394.51
18107,"Montgomery, IN",504.61
18109,"Morgan, IN",403.97
18111,"Newton, IN",401.76
18113,"Noble, IN",410.84
18115,"Ohio, IN",86.14
18117,"Orange, IN",398.39
18119,"Owen, IN",385.29
18121,"Parke, IN",444.66
18123,"Perry, IN",381.73
18125,"Pike, IN",334.24
18127,"Porter, IN",418.15
18129,"Posey, IN",409.57
18131,"Pulaski, IN",433.65
18133,"Putnam, IN",480.53
18135,"Randolph, IN",452.38
18137,"Ripley, IN",446.43
18139,"Rush, IN",408.12
18141,"St. Joseph, IN",457.85
18143,"Scott, IN",190.4
18145,"Shelby, IN",411.15
18147,"Spencer, IN",396.74
18149,"Starke, IN",309.13
18151,"Steuben, IN",308.94
18153,"Sullivan, IN",447.14
18155,"Switzerland, IN",220.63
18157,"Tippecanoe, IN",499.81
18159,"Tipton, IN",260.54
18161,"Union, IN",161.22
18163,"Vanderburgh, IN",233.48
18165,"Vermillion, IN",256.88
18167,"Vigo, IN",403.31
18169,"Wabash, IN",412.43
18171,"Warren, IN",364.68
18173,"Warrick, IN",384.82
18175,"Washington, IN",513.73
18177,"Wayne, IN",401.74
18179,"Wells, IN",368.09
18181,"White, IN",505.13
18183,"Whitley, IN",335.57
19001,"Adair, IA",569.27
19003,"Adams, IA",423.44
19005,"Allamakee, IA",639.08
19007,"Appanoose, IA",497.29
19009,"Audubon, IA",442.96
19011,"Benton, IA",716.27
19013,"Black Hawk, IA",565.77
19015,"Boone, IA",571.57
