countyFIPS,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,Biden_or_Trump
01111,Alabama,Randolph County,8548,2203,10824,6345,0.7897265336289726,0.2035291943828529,0.5861973392461197,0
01113,Alabama,Russell County,9796,11078,21108,-1282,0.4640894447602805,0.5248247110100436,-0.06073526624976311,1
01115,Alabama,St. Clair County,36119,7698,44346,28421,0.8144815766923736,0.17358950074414828,0.6408920759482254,0
01117,Alabama,Shelby County,79428,33036,114439,46392,0.6940640865439229,0.28867781088614897,0.405386275657774,0
01119,Alabama,Sumter County,1598,4639,6282,-3041,0.25437758675581024,0.7384590894619548,-0.4840815027061446,1
01121,Alabama,Talladega County,22210,13092,35591,9118,0.6240341659408277,0.36784580371442216,0.2561883622264056,0
01123,Alabama,Tallapoosa County,14905,5815,20888,9090,0.7135675986212179,0.2783895059364228,0.4351780926847951,0
01125,Alabama,Tuscaloosa County,50961,37514,89760,13447,0.5677473262032086,0.4179367201426025,0.1498106060606061,0
01127,Alabama,Walker County,25947,4826,31106,21121,0.8341477528451102,0.15514691699350608,0.6790008358516042,0
01129,Alabama,Washington County,6554,2253,8861,4301,0.7396456381898205,0.2542602415077305,0.48538539668209,0
01131,Alabama,Wilcox County,1826,4036,5884,-2210,0.31033310673011555,0.6859279401767505,-0.37559483344663497,1
01133,Alabama,Winston County,10187,974,11273,9213,0.9036636210414264,0.08640113545640025,0.8172624855850261,0
02901,,,2322,1723,4251,599,0.5462244177840508,0.4053163961420842,0.14090802164196664,0
02902,,,1424,782,2344,642,0.6075085324232082,0.33361774744027306,0.2738907849829352,0
02903,,,3664,811,4697,2853,0.7800723866297636,0.1726634021715989,0.6074089844581647,0
02904,,,1718,2243,4134,-525,0.4155781325592646,0.542573778422835,-0.12699564586357046,1
02905,,,2042,1645,3834,397,0.532603025560772,0.42905581637976,0.10354720918101196,0
02906,,,2711,942,3859,1769,0.7025136045607671,0.2441046903342835,0.4584089142264836,0
02907,,,4239,950,5377,3289,0.7883578203459178,0.176678445229682,0.6116793751162358,0
02908,,,2271,512,2866,1759,0.7923935799023029,0.17864619678995114,0.6137473831123517,0
02909,,,1413,405,1913,1008,0.7386304234187141,0.2117093570308416,0.5269210663878725,0
02910,,,3835,863,4886,2972,0.7848956201391731,0.17662709783053626,0.6082685223086369,0
02911,,,3740,1289,5196,2451,0.7197844495765974,0.2480754426481909,0.4717090069284065,0
02912,,,1773,482,2309,1291,0.7678648765699437,0.2087483759203118,0.5591165006496319,0
02913,,,2299,752,3229,1547,0.7119851347166305,0.2328894394549396,0.4790956952616909,0
02914,,,2984,882,4050,2102,0.7367901234567901,0.21777777777777774,0.5190123456790123,0
02915,,,1207,879,2189,328,0.5513933302878027,0.401553220648698,0.14984010963910466,0
02916,,,1721,1196,3057,525,0.5629702322538437,0.3912332351979064,0.17173699705593726,0
02917,,,1197,1192,2497,5,0.4793752503003604,0.4773728474169003,0.0020024028834601526,0
02918,,,1293,1576,2966,-283,0.4359406608226568,0.5313553607552259,-0.09541469993256918,1
02919,,,1236,1332,2683,-96,0.4606783451360417,0.4964591874767052,-0.035780842340663484,1
02920,,,1242,1697,3050,-455,0.4072131147540984,0.5563934426229509,-0.1491803278688525,1
02921,,,1657,1565,3364,92,0.4925683709869204,0.4652199762187871,0.027348394768133225,0
02922,,,3079,1776,5001,1303,0.6156768646270746,0.35512897420515904,0.2605478904219156,0
02923,,,2388,1661,4202,727,0.5683008091385054,0.3952879581151833,0.1730128510233222,0
02924,,,3454,1831,5442,1623,0.6346931275266446,0.3364571848585079,0.29823594266813674,0
02925,,,2889,1812,4866,1077,0.593711467324291,0.3723797780517879,0.22133168927250316,0
02926,,,3301,1724,5188,1577,0.6362760215882807,0.3323053199691596,0.3039707016191211,0
02927,,,2800,1807,4805,993,0.5827263267429761,0.37606659729448494,0.20665972944849115,0
02928,,,3306,2150,5610,1156,0.5893048128342246,0.3832442067736185,0.2060606060606061,0
02929,,,1511,295,1865,1216,0.8101876675603217,0.1581769436997319,0.6520107238605898,0
02930,,,1334,245,1637,1089,0.8149053145998778,0.14966401954795358,0.6652412950519242,0
02931,,,2123,616,2856,1507,0.7433473389355743,0.21568627450980396,0.5276610644257703,0
02932,,,448,233,711,215,0.6300984528832629,0.32770745428973275,0.3023909985935303,0
02933,,,1607,2828,4595,-1221,0.34972796517954297,0.6154515778019587,-0.2657236126224157,1
02934,,,2668,2480,5360,188,0.4977611940298508,0.4626865671641791,0.035074626865671636,0
02935,,,787,398,1216,389,0.647203947368421,0.3273026315789473,0.3199013157894737,0
02936,,,2731,1344,4263,1387,0.6406286652592071,0.31527093596059114,0.325357729298616,0
02937,,,80,83,173,-3,0.4624277456647399,0.4797687861271676,-0.017341040462427737,1
02938,,,117,118,249,-1,0.4698795180722892,0.4738955823293173,-0.004016064257028107,1
02939,,,363,594,1013,-231,0.3583415597235933,0.5863770977295163,-0.22803553800592305,1
02940,,,25,45,82,-20,0.3048780487804878,0.5487804878048781,-0.2439024390243903,1
04001,Arizona,Apache County,7491,16574,24333,-9083,0.30785353224016765,0.6811326182550446,-0.3732790860148769,1
04003,Arizona,Cochise County,31265,21980,54381,9285,0.5749250657398723,0.40418528530185177,0.17073978043802054,0
04005,Arizona,Coconino County,26519,44103,72110,-17584,0.3677575925669117,0.6116072666759118,-0.24384967410900016,1
04007,Arizona,Gila County,18375,8943,27726,9432,0.6627353386712833,0.3225492317680156,0.3401861069032677,0
04009,Arizona,Graham County,10747,4034,15026,6713,0.7152269399707174,0.2684679888193797,0.4467589511513377,0
04011,Arizona,Greenlee County,2433,1182,3692,1251,0.6589924160346695,0.3201516793066089,0.33884073672806064,0
04012,Arizona,La Paz County,4542,2050,6677,2492,0.6802456192901003,0.30702411262543056,0.37322150666466974,0
04013,Arizona,Maricopa County,977495,1023516,2039433,-46021,0.4792974321784535,0.5018630178093617,-0.022565585630908214,1
04015,Arizona,Mohave County,77724,24687,103836,53037,0.7485265225933202,0.23774991332485845,0.5107766092684618,0
04017,Arizona,Navajo County,27417,23217,51464,4200,0.5327413337478626,0.451130887610757,0.08161044613710555,0
04019,Arizona,Pima County,197183,295049,501058,-97866,0.3935332835719617,0.5888519891908721,-0.1953187056189104,1
04021,Arizona,Pinal County,92954,67814,163455,25140,0.5686825120063627,0.41487871279557065,0.15380379921079199,0
04023,Arizona,Santa Cruz County,6179,13121,19546,-6942,0.316126061598281,0.6712882431187966,-0.35516218152051565,1
04025,Arizona,Yavapai County,90280,49111,141719,41169,0.6370352599157487,0.3465378671878859,0.29049739272786285,0
04027,Arizona,Yuma County,35766,31562,68427,4204,0.5226884124687623,0.4612506759027869,0.0614377365659754,0
05001,Arkansas,Arkansas County,4301,1813,6284,2488,0.6844366645448758,0.2885105028644176,0.39592616168045824,0
05003,Arkansas,Ashley County,5540,2119,7911,3421,0.7002907344204272,0.2678548856023259,0.4324358488181013,0
05005,Arkansas,Baxter County,15810,4625,20968,11185,0.7540061045402519,0.2205742083174361,0.5334318962228157,0
05007,Arkansas,Benton County,73605,41894,119166,31711,0.6176677911484819,0.3515600087273216,0.26610778242116034,0
